;;;
Jumlah Cabang;NO;LOKASI;PELAYANAN LLP
;286;Unit Bade;CTAF
;287;Unit Kimam;CTAF
;288;Unit Okaba;CTAF
;289;Unit Mindiptanah;CTAF
;290;Unit Kamur;CTAF
;291;Unit Bomakia;Exemption
;292;Unit Senggo;Exemption
;293;Unit Manggelum;Exemption
;294;Unit Yaniruma;Exemption
;295;Unit Wanggemalo;Exemption
;296;Unit Iwur;Exemption
;297;Unit Aboge;Exemption
;298;Unit Wanam;Exemption
;299;Unit Borome;Exemption
;300;Unit Kebo, Paniai;Exemption
;301;Unit Kilmit;Exemption
;;;
